SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004030999,股东权益,5062119000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004036999,总权益,5070888000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,5090140000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2024-12-31 00:00:00,001,12-31,004039999,总权益及总负债,7587645000.0,2024-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,47047000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004001004,无形资产,425678000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004001019,其他投资,53436000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,456824000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004001030,中长期存款,204157000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,303606000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004001999,非流动资产合计,1490748000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004002001,存货,295262000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004002003,应收帐款,1843610000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004002005,预付款按金及其他应收款,384388000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,57990000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004002010,现金及等价物,1977891000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004002011,短期存款,492946000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004002013,指定以公允价值记账之金融资产(流动),562335000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004002023,合同资产,42104000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004002999,流动资产合计,5656526000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004009999,总资产,7147274000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004011001,应付帐款,1043189000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004011003,应付税项,4037000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),25697000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004011008,其他应付款及应计费用,270597000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004011010,短期贷款,96247000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004011024,合同负债,146184000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004011997,流动负债其他项目,57199000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004011999,流动负债合计,1643150000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004013999,净流动资产,4013376000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,5504124000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004020001,长期贷款,12500000.0,2023-12-31 00:00:00
06682.HK,06682,第四范式,10000071947,2023-12-31 00:00:00,001,12-31,004020003,递延税项负债,1482000.0,2023-12-31 00:00:00
